battery_capacity_kwh,soc,speed_kmh,temperature_c,energy_consumption_kwh_per_100km,ac_on,driving_mode,remaining_range_km
64.0,100.0,60.0,25.0,14.5,0,Normal,441.4
64.0,80.0,60.0,25.0,14.5,0,Normal,353.1
64.0,50.0,60.0,25.0,14.5,0,Normal,220.7
64.0,20.0,60.0,25.0,14.5,0,Normal,88.3
64.0,80.0,100.0,25.0,14.5,0,Normal,315.3
64.0,80.0,60.0,38.0,14.5,1,Eco,279.1
64.0,80.0,60.0,5.0,14.5,0,Normal,307.0
64.0,90.0,50.0,22.0,13.8,0,Eco,430.4
64.0,40.0,80.0,30.0,15.2,1,Sport,150.5
77.4,85.0,70.0,24.0,16.0,0,Normal,411.2
77.4,60.0,110.0,28.0,17.5,1,Normal,235.8
77.4,95.0,55.0,20.0,15.0,0,Eco,490.2
50.0,80.0,60.0,25.0,14.0,0,Normal,285.7
50.0,30.0,90.0,32.0,16.0,1,Normal,82.0
50.0,90.0,45.0,22.0,13.2,0,Eco,340.9
60.0,75.0,65.0,26.0,15.0,0,Normal,300.0
60.0,45.0,85.0,33.0,16.5,1,Normal,145.5
60.0,25.0,50.0,25.0,14.0,0,Eco,107.1
82.0,80.0,70.0,22.0,16.2,0,Normal,404.9
82.0,50.0,100.0,35.0,18.0,1,Sport,202.5
